"id"	"name"	"danceability"	"energy"	"key"	"loudness"	"mode"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"type"	"uri"	"track_href"	"analysis_url"	"duration_ms"	"time_signature"	"popularity"
"1"	"7lUA4P03AhwAw40JHkdyGr"	"Pretty Hurts"	0.512	0.625	11	-6.764	1	0.0508	0.00308	0.000164	0.346	0.201	129.935	"audio_features"	"spotify:track:7lUA4P03AhwAw40JHkdyGr"	"https://api.spotify.com/v1/tracks/7lUA4P03AhwAw40JHkdyGr"	"https://api.spotify.com/v1/audio-analysis/7lUA4P03AhwAw40JHkdyGr"	257653	4	68
"2"	"7cioKB5CHVzk09SOtTyn0T"	"Haunted"	0.436	0.534	1	-9.416	0	0.0773	0.103	0.00643	0.507	0.325	122.822	"audio_features"	"spotify:track:7cioKB5CHVzk09SOtTyn0T"	"https://api.spotify.com/v1/tracks/7cioKB5CHVzk09SOtTyn0T"	"https://api.spotify.com/v1/audio-analysis/7cioKB5CHVzk09SOtTyn0T"	369040	4	63
"3"	"6jG2YzhxptolDzLHTGLt7S"	"Drunk in Love"	0.589	0.621	5	-6.902	0	0.0468	0.00969	0.00104	0.181	0.401	140.03	"audio_features"	"spotify:track:6jG2YzhxptolDzLHTGLt7S"	"https://api.spotify.com/v1/tracks/6jG2YzhxptolDzLHTGLt7S"	"https://api.spotify.com/v1/audio-analysis/6jG2YzhxptolDzLHTGLt7S"	323480	4	75
"4"	"6wwrYruEgWlowPDZMq5116"	"Blow"	0.875	0.434	0	-7.683	1	0.091	0.242	0.00146	0.234	0.777	120.065	"audio_features"	"spotify:track:6wwrYruEgWlowPDZMq5116"	"https://api.spotify.com/v1/tracks/6wwrYruEgWlowPDZMq5116"	"https://api.spotify.com/v1/audio-analysis/6wwrYruEgWlowPDZMq5116"	309720	4	60
"5"	"4DActPOAtak2m8meZeMt3B"	"No Angel"	0.571	0.466	9	-9.153	0	0.173	0.0424	0.00262	0.125	0.512	111.58	"audio_features"	"spotify:track:4DActPOAtak2m8meZeMt3B"	"https://api.spotify.com/v1/tracks/4DActPOAtak2m8meZeMt3B"	"https://api.spotify.com/v1/audio-analysis/4DActPOAtak2m8meZeMt3B"	228693	1	56
"6"	"5hgnY0mVcVetszbb85qeDg"	"Partition"	0.412	0.441	11	-11.523	0	0.291	0.0296	0.0726	0.306	0.174	185.571	"audio_features"	"spotify:track:5hgnY0mVcVetszbb85qeDg"	"https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg"	"https://api.spotify.com/v1/audio-analysis/5hgnY0mVcVetszbb85qeDg"	319467	4	72
"7"	"63wKtmUg754umO8SglEL79"	"Jealous"	0.589	0.541	8	-10.087	1	0.163	0.122	0.00414	0.0882	0.236	133.97	"audio_features"	"spotify:track:63wKtmUg754umO8SglEL79"	"https://api.spotify.com/v1/tracks/63wKtmUg754umO8SglEL79"	"https://api.spotify.com/v1/audio-analysis/63wKtmUg754umO8SglEL79"	184013	4	59
"8"	"0755vnFQZLSgHHWbR1qCjY"	"Rocket"	0.495	0.403	1	-9.731	1	0.301	0.5	0	0.7	0.555	140.415	"audio_features"	"spotify:track:0755vnFQZLSgHHWbR1qCjY"	"https://api.spotify.com/v1/tracks/0755vnFQZLSgHHWbR1qCjY"	"https://api.spotify.com/v1/audio-analysis/0755vnFQZLSgHHWbR1qCjY"	391907	3	62
"9"	"63FrXif0Pdu4NAPvTh87mw"	"Mine"	0.557	0.428	5	-11.299	1	0.137	0.0673	0.0019	0.139	0.0996	103.009	"audio_features"	"spotify:track:63FrXif0Pdu4NAPvTh87mw"	"https://api.spotify.com/v1/tracks/63FrXif0Pdu4NAPvTh87mw"	"https://api.spotify.com/v1/audio-analysis/63FrXif0Pdu4NAPvTh87mw"	378600	4	62
"10"	"40xhyfAPDoMtv494MfPevP"	"XO"	0.47	0.792	0	-8.932	1	0.26	0.171	1.28e-06	0.313	0.214	170.085	"audio_features"	"spotify:track:40xhyfAPDoMtv494MfPevP"	"https://api.spotify.com/v1/tracks/40xhyfAPDoMtv494MfPevP"	"https://api.spotify.com/v1/audio-analysis/40xhyfAPDoMtv494MfPevP"	215947	4	67
